Subjects,winModel,BIC_Null,BIC_WSLS,BIC_RW,BIC_RW-CK,BIC_CK
11,3,137.648606858977,98.1661530846284,60.5212910726142,69.6499874555701,68.9040543750197
12,5,126.558251970018,125.795191225487,117.249958955196,105.718411061154,99.760507385977
13,3,125.171957608898,94.2733868848279,72.2078905498891,79.27760802194,98.5271035548782
14,3,137.648606858977,101.063606734508,48.4958809026382,56.8990720528721,96.4354137731807
15,3,137.648606858977,106.449411734524,17.5222030663328,25.3209846597302,17.8747222624351
16,3,137.648606858977,101.063606734746,68.9996836960845,71.8872831216128,83.1839677576824
17,3,137.648606858977,113.579192245905,34.3354654583521,43.2527923431174,46.2126257396547
18,3,137.648606858977,98.1661530846674,38.5449573168449,45.354408712877,86.7686664221174
19,3,137.648606858977,111.323421978507,93.585664708653,99.6256858678739,114.581634965222
20,5,133.489723775618,133.489723775618,128.913171035388,123.330299457212,118.975829927773
21,3,134.876018136738,107.898626276645,69.2033293499202,78.3320257322445,106.962128145242
22,3,137.648606858977,108.948138888797,29.2269025750386,32.901899700944,35.2824714737756
23,3,137.648606858977,119.663177888382,72.8713926699263,82.000089051959,92.4347710089029
24,4,137.648606858977,123.178136573131,36.5680233133494,32.6938701696035,48.3449781792478
25,3,136.262312497857,113.000173985354,24.922222744055,31.6844819598163,28.7301349250176
26,5,136.262312497857,108.426679550952,34.2756313050375,34.3282976337512,26.2310577766782
27,3,137.648606858977,121.473087962348,58.8318038109366,62.3755571026427,77.3801312180936
28,5,134.876018136738,105.456641466342,17.5141447183619,21.0299829383236,11.9012851077308
29,3,134.876018136738,114.494256491224,89.2421315127046,96.710342009773,95.7871211079001
30,5,137.648606858977,98.1661530846739,15.9805508215558,21.0299830194066,11.9012851077864
31,3,133.489723775618,96.9176246126,25.1532132513259,33.1396748973175,65.0923858956015
32,3,136.262312497857,94.7398996799178,23.068552490418,30.3861502043449,38.6359283481844
33,5,134.876018136738,105.456641466337,15.9317984239375,21.0299814889928,11.9012851077308
34,4,134.876018136738,107.898626276591,81.8898139132694,69.3977226670754,125.184715201399
35,3,133.489723775618,111.819639568056,77.6139567957803,86.7426531763897,84.4131164694289
36,5,137.648606858977,123.178136573237,45.7094626343007,51.6210224860104,45.2088166892602
37,4,137.648606858977,135.509872578355,124.292174499393,61.0657692202415,67.9368734702701
38,3,134.876018136738,102.886042547594,59.3453142809763,68.4740106636782,81.495889278404
39,3,129.330840692258,111.946012989271,47.3299076702047,55.3164665639126,51.9654982552862
40,4,134.876018136738,124.682075929065,118.262643410346,79.0331622891742,120.285062789792
41,3,136.262312497857,110.773390240167,81.1275299036569,88.1964295063921,94.2636874318994
42,4,137.648606858977,106.449411735041,100.753619493133,91.5644017840094,125.692118009226
43,3,137.648606858977,108.948138888857,42.3529239534462,48.5746794365483,51.6757238315862
44,5,134.876018136738,107.898626276598,16.9289419558013,21.0299830092274,11.9012851077308
45,3,137.648606858977,108.948138889764,25.3676493954617,30.4510901580386,29.6466368259558
46,3,133.489723775618,129.402158116029,123.795104399092,132.366232978372,134.25309732567
47,3,134.876018136738,128.397922705483,66.0845110070726,70.3922163061089,67.5080679370823
48,5,137.648606858977,106.449411732519,15.2640706534418,21.0299815137683,11.9012851216684
49,3,137.648606858977,103.822864196999,26.2680351377414,35.250339313406,31.0716887461597
50,3,111.309013997699,91.6565703839034,31.7489838713712,40.8421763181397,34.61160495116
51,3,136.262312497857,113.000173985325,88.5949399223931,97.7236363077448,114.970530441289
52,3,134.876018136738,112.413721364327,95.5663384455788,104.695034827336,131.5094820413
53,3,137.648606858977,134.104047901729,128.73293384386,137.69933719039,131.248113941802
54,5,136.262312497857,113.000173985358,71.7527302155072,70.6254965829507,66.0245802367708
55,3,134.876018136738,123.245496727083,80.6114103205626,81.4037535292483,89.5398581682316
57,3,134.876018136738,118.317211648253,91.5743676608989,99.5922998734566,119.973123085332
58,4,137.648606858977,121.473087962304,113.147881141878,111.069308115543,138.517466362369
59,3,123.785663247778,107.429329873699,83.8846896692464,85.3913927332703,124.146105459172
60,5,136.262312497857,97.7550683329619,15.4235130689259,21.0299815198078,11.9012851077586
