Subjects,Accuracy
11,0.90625
12,0.727272727272727
13,0.781609195402299
14,0.84375
15,0.989583333333333
16,0.833333333333333
17,0.9375
18,0.875
19,0.802083333333333
20,0.505376344086022
21,0.765957446808511
22,0.9375
23,0.84375
24,0.90625
25,0.957894736842105
26,0.978947368421053
27,0.864583333333333
28,1
29,0.797872340425532
30,1
31,0.89247311827957
32,0.926315789473684
33,1
34,0.712765957446808
35,0.881720430107527
36,0.947916666666667
37,0.520833333333333
38,0.882978723404255
39,0.911111111111111
40,0.51063829787234
41,0.852631578947368
42,0.604166666666667
43,0.958333333333333
44,1
45,0.979166666666667
46,0.623655913978495
47,0.914893617021277
48,1
49,0.947916666666667
50,0.974025974025974
51,0.778947368421053
52,0.670212765957447
53,0.604166666666667
54,0.884210526315789
55,0.734042553191489
57,0.712765957446808
58,0.583333333333333
59,0.627906976744186
60,1
