Subjects,winModel,BIC_1,BIC_2,BIC_3,BIC_4,BIC_5
11,3,137.648606858977,98.1661530846284,60.5212910727015,69.5051766084285,68.8732821894729
12,5,126.558251970018,125.795191225487,117.249958955612,105.718411094261,99.7605073915108
13,3,125.171957608898,94.2733868848279,72.2078905462984,79.277608013684,97.2408718262754
14,3,137.648606858977,101.063606734508,48.4958809021033,56.8990719783604,96.4354137758136
15,3,137.648606858977,106.449411734524,15.9318577690034,25.0605541519647,17.757811423257
16,3,137.648606858977,101.063606734746,68.9996836834872,71.887283119115,81.276989129656
17,3,137.648606858977,113.579192245905,34.3354654585396,43.2255462445826,46.2126257374131
18,3,137.648606858977,98.1661530846674,38.5449572909405,45.3455823831102,86.7686664226588
19,3,137.648606858977,111.323421978507,93.585664708446,99.6256858678709,114.581634965393
20,5,133.489723775618,133.489723775618,128.283907427327,123.089433158049,117.393173371704
21,3,134.876018136738,107.898626276645,69.2033293603015,78.3320257396505,103.384125180371
22,3,137.648606858977,108.948138888797,23.1261904983943,27.7292337776195,34.529395014563
23,3,137.648606858977,119.663177888382,72.87139267172,82.0000890520204,91.8161416545138
24,4,137.648606858977,123.178136573131,34.109470296613,31.0108413286637,47.147815311732
25,3,136.262312497857,113.000173985354,22.3105861763751,31.2317719085654,28.211758229318
26,5,136.262312497857,108.426679550952,34.275631305204,34.3282976265908,26.2310577691724
27,3,137.648606858977,121.473087962348,58.8318038120766,62.3755571411644,77.3801312193788
28,5,134.876018136738,105.456641466342,11.9012902478198,21.0299831519273,11.9012851055167
29,3,134.876018136738,114.494256491224,89.2421315124669,96.7103420244466,95.7871211075609
30,5,137.648606858977,98.1661530846739,11.9012865545557,21.0299830102491,11.9012851051873
31,3,133.489723775618,96.9176246126,18.557193146123,27.6858895290965,65.0923858950046
32,3,136.262312497857,94.7398996799178,22.6924500474241,30.3861501683528,38.1994558485469
33,5,134.876018136738,105.456641466337,11.90128676634,21.0299814883028,11.9012851051777
34,4,134.876018136738,107.898626276591,81.605756238001,69.3977226624805,117.306946607711
35,3,133.489723775618,111.819639568056,77.613956792791,86.715152577062,84.4131164696977
36,3,137.648606858977,123.178136573237,44.322290776657,51.6210224032907,45.208816689255
37,4,137.648606858977,135.509872578355,120.554039526046,60.8258531410631,63.3803662629202
38,3,134.876018136738,102.886042547594,59.3453142916087,68.474010663929,81.4958892759028
39,3,129.320369392391,111.935541689403,46.2540196362033,55.1511648562294,51.944555655609
40,4,134.876018136738,124.682075929065,116.516905433083,78.8948182384096,120.285062789541
41,3,136.262312497857,110.773390240167,81.1275299035179,88.1964294973456,94.2636874311536
42,4,137.648606858977,106.449411735041,100.753619493801,91.5644017813267,125.692118009218
43,3,137.648606858977,108.948138888857,42.3529239534659,48.5606847191414,51.6757238312473
44,5,134.876018136738,107.898626276598,11.9012866882833,21.0299814881143,11.9012851065892
45,3,137.648606858977,108.948138889764,24.1144872403621,29.1567731526499,29.6466368237268
46,3,133.489723775618,129.402158116029,123.795104399869,132.36623298557,134.187905261686
47,3,134.876018136738,128.397922705483,66.0845110069594,69.8128233760754,67.5080679371595
48,5,137.648606858977,106.449411732519,11.9012869584756,21.0299815137683,11.9012851216684
49,3,137.648606858977,103.822864196999,25.8402464104408,34.9508814446401,30.528484481205
50,3,111.309013997699,91.6565703839034,31.7489838713925,40.7750944941586,34.6116049509539
51,3,136.262312497857,113.000173985325,88.5949399225536,97.3092983354098,113.068833079285
52,3,134.876018136738,112.413721364327,95.5663384445181,104.695034828825,131.292585068406
53,3,137.648606858977,134.104047901729,128.329381567116,137.422450885855,130.806721032227
54,5,136.262312497857,113.000173985358,71.7527302163058,70.6254965800417,66.0245802315075
55,3,134.876018136738,123.245496727083,77.2182869099599,80.0929545022009,85.3566160561599
57,3,134.876018136738,118.317211648253,91.5743676607207,99.0246412252093,119.417285281137
58,4,137.648606858977,121.473087962304,113.147881141988,111.06930811162,138.517466362369
59,3,123.785663247778,107.429329873699,83.884689667431,85.3913927349056,124.293924275698
60,5,136.262312497857,97.7550683329619,11.9012867677459,21.0299815613636,11.9012851056148
