Subject,NegLL_Null,NegLL_WSLS,NegLL_RW,NegLL_RW-CK,NegLL_CK
11,66.5421293337547,46.8009024465803,25.6962973448393,25.6962973448494,29.887678996042
12,60.9969518892752,60.6154215170098,54.06063128613,43.7305091476413,45.3159055015206
13,60.3038047087152,44.8545193466801,31.5395970834767,30.5101076280343,44.6992035859713
14,66.5421293337547,48.2496292715199,19.6835922598513,19.3208396435004,43.6533586951225
15,66.5421293337547,50.9425317715282,4.19675334169855,3.53179594692944,4.37301293974971
16,66.5421293337547,48.2496292716389,29.9354936565744,26.8149451778707,37.0276356873733
17,66.5421293337547,54.5074220272187,12.6033845377082,12.497699788623,18.5419646783595
18,66.5421293337547,46.8009024465998,14.7081304669546,13.5485079735028,38.8199850195909
19,66.5421293337547,53.3795368935198,42.2284841628586,40.6841465510013,52.7264692911429
20,64.4626877920749,64.4626877920749,59.8922373262264,52.5364533456702,54.9235667724185
21,65.1558349726349,51.6671390425884,30.0373164834923,30.0373164831866,48.9167158811534
22,66.5421293337547,52.1918953486645,10.0491030960515,7.32225346753631,13.07688754542
23,66.5421293337547,57.5494148484571,31.8713481434953,31.8713481430438,41.6530373129836
24,66.5421293337547,59.3068941908314,13.7196634652068,7.21823870186607,19.608140898156
25,65.8489821531948,54.2179128969429,7.89676318055969,6.7135445969725,9.80071927104099
26,65.8489821531948,51.9311656797419,12.5734674610509,8.03545243393992,8.55118069687127
27,66.5421293337547,58.4543698854401,24.8515537140005,22.0590821683857,34.1257174175789
28,65.1558349726349,50.4461466374372,4.19272416771311,1.38629508622614,1.38629436239758
29,65.1558349726349,54.9649541498782,40.0567175648845,39.2264746219508,43.3292123624822
30,66.5421293337547,46.800902446603,3.42592721931005,1.38629512676764,1.38629436242535
31,64.4626877920749,46.1766382105661,8.01225843419511,7.4411410657231,27.9818447563329
32,65.8489821531948,45.087775744225,6.96992805374119,6.06437871923679,14.7536159826244
33,65.1558349726349,50.4461466374348,3.40155102050094,1.38629436156073,1.38629436239758
34,65.1558349726349,51.6671390425615,36.3805587651669,25.570164950602,58.0280094092319
35,64.4626877920749,53.6276456882942,34.2426302064223,34.2426302052592,37.6422100432466
36,66.5421293337547,59.3068941908846,18.2903831256825,16.6818148600695,18.0400601531623
37,66.5421293337547,65.4727621934434,57.5817390582288,21.4041882271851,29.4040885436672
38,65.1558349726349,49.1608471780632,25.1083089490203,25.1083089489034,36.1835964477342
39,62.3832462503951,53.6908323989014,19.1006056436345,18.5295368990206,21.4184009361753
40,65.1558349726349,60.0588638687986,54.5669735137054,30.3878847616514,55.5781832034284
41,65.8489821531948,53.1045210243497,35.9994167603606,34.9695183702604,42.5674955244818
42,66.5421293337547,50.9425317717868,45.8124615550986,36.653504509069,58.2817108131454
43,66.5421293337547,52.1918953486946,16.6121137852553,15.1586433353385,21.2735137243253
44,65.1558349726349,51.6671390425651,3.90012278643283,1.38629512167801,1.38629436239758
45,66.5421293337547,52.191895349148,8.11947650626303,6.09684869608362,10.25897022151
46,64.4626877920749,62.4189049622804,57.3332040080784,57.0544201062503,62.5622004713671
47,65.1558349726349,61.9167872570077,28.4779073120685,26.0674117701188,29.1896857770733
48,66.5421293337547,50.9425317705254,3.06768713525307,1.3862943739485,1.38629436936635
49,66.5421293337547,49.6292580027657,8.56966937740287,8.49647327376734,10.971496181612
50,53.3723329031158,43.5461110962178,11.3101437442178,11.2923917761342,12.7414542841122
51,65.8489821531948,54.2179128969286,39.7331217697287,39.7331217709367,52.9209170291765
52,65.1558349726349,53.9246865864295,43.2188210313216,43.2188210307323,61.1903928291823
53,66.5421293337547,64.7698498551305,59.802118730462,59.7209722122596,61.0597087794332
54,65.8489821531948,54.2179128969452,31.3120169162858,26.1840519085397,28.4479419269175
55,65.1558349726349,59.3405742678078,35.7413569688135,31.5731803816885,40.205580892648
57,65.1558349726349,56.8764317283926,41.2228356389816,40.6674535537926,55.4222133511982
58,66.5421293337547,58.4543698854182,52.0095923794713,46.405957674836,64.6943849897166
59,59.6106575281553,51.4324908411155,37.3779966431554,33.5669999836995,57.5087045381183
60,65.8489821531948,46.595360070747,3.1474083429951,1.38629437696825,1.38629436241146
